M, N, B, ALGO_NAME, RESULT, RUNNING_TIME
2, 12, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 5.000000, PDP, 14.000000, 0.001537
2, 12, 5.000000, TABU, 1.000000, 0.047000
2, 12, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 5.000000, PDP, 18.000000, 0.001301
2, 12, 5.000000, TABU, 1.055556, 0.063000
2, 12, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 5.000000, PDP, 14.000000, 0.001174
2, 12, 5.000000, TABU, 1.142857, 0.031000
2, 12, 5.000000, TABU-RAND, 1.142857, 0.000000
2, 12, 5.000000, PDP, 9.000000, 0.001370
2, 12, 5.000000, TABU, 1.000000, 0.078000
2, 12, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 5.000000, PDP, 3.000000, 0.001116
2, 12, 5.000000, TABU, 1.000000, 0.031000
2, 12, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 6.000000, 0.001452
2, 12, 7.000000, TABU, 1.000000, 0.031000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 5.000000, 0.001097
2, 12, 7.000000, TABU, 1.000000, 0.031000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 6.000000, 0.001378
2, 12, 7.000000, TABU, 1.166667, 0.031000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 13.000000, 0.002710
2, 12, 7.000000, TABU, 1.000000, 0.032000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 10.000000, 0.001159
2, 12, 7.000000, TABU, 1.100000, 0.047000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 7.000000, 0.001056
2, 12, 7.000000, TABU, 1.000000, 0.063000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 3.000000, 0.000990
2, 12, 7.000000, TABU, 1.000000, 0.063000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 8.000000, 0.001063
2, 12, 7.000000, TABU, 1.125000, 0.078000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 3.000000, 0.001257
2, 12, 7.000000, TABU, 1.000000, 0.047000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 7.000000, PDP, 12.000000, 0.001291
2, 12, 7.000000, TABU, 1.000000, 0.047000
2, 12, 7.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 7.000000, 0.000178
3, 6, 3.000000, TABU, 1.000000, 0.031000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 13.000000, 0.000222
3, 6, 3.000000, TABU, 1.000000, 0.031000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 9.000000, 0.000156
3, 6, 3.000000, TABU, 1.000000, 0.047000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 12.000000, 0.000192
3, 6, 3.000000, TABU, 1.000000, 0.032000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 13.000000, 0.000153
3, 6, 3.000000, TABU, 1.000000, 0.047000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 4.000000, 0.000203
3, 6, 3.000000, TABU, 1.000000, 0.031000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 7.000000, 0.000142
3, 6, 3.000000, TABU, 1.000000, 0.016000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 9.000000, 0.000158
3, 6, 3.000000, TABU, 1.000000, 0.032000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 8.000000, 0.000131
3, 6, 3.000000, TABU, 1.000000, 0.031000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 3.000000, PDP, 6.000000, 0.000231
3, 6, 3.000000, TABU, 1.000000, 0.016000
3, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 5.000000, PDP, 7.000000, 0.000175
3, 6, 5.000000, TABU, 1.000000, 0.031000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 5.000000, PDP, 7.000000, 0.000175
3, 6, 5.000000, TABU, 1.000000, 0.031000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
3, 6, 5.000000, PDP, 13.000000, 0.000185
3, 6, 5.000000, TABU, 1.000000, 0.031000
3, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
